pick_date,market_label,market_score,universe_count,prefilter_count,strict_count,selected_count,avg_return_1000,avg_net_return_1000,win_rate,best_stock_return,worst_stock_return,selected
2026-04-01,顺风,19,4954,383,13,5,-1.334932151864432,-1.484932151864432,0.2,1.0961059190031155,-5.2541666666666655,翰宇药业 300199，昊志机电 300503，振东制药 300158，中源协和 600645，科拓生物 300858
2026-04-02,逆风,0,4954,153,0,0,,,,,,
2026-04-03,逆风,0,4955,139,0,0,,,,,,
2026-04-07,中性偏强,15,4956,282,4,4,-2.1505154132704787,-2.300515413270479,0.25,3.027211722815687,-6.373358908780908,人民同泰 600829，华人健康 301408，襄阳轴承 000678，振华股份 603067
2026-04-08,顺风,20,4958,832,30,5,2.2569881414805137,2.1069881414805143,0.4,16.109477674810442,-2.636874827300356,翰宇药业 300199，优博讯 300531，明阳电路 300739，壹网壹创 300792，奕东电子 301123
2026-04-09,逆风,0,4959,318,0,0,,,,,,
2026-04-10,中性偏强,15,4960,327,2,2,-2.829890811044944,-2.979890811044944,0.0,-1.6738879736408583,-4.285893648449029,起帆电缆 605222，尤夫股份 002427
2026-04-13,逆风,4,4961,413,0,0,,,,,,
2026-04-14,中性偏强,15,4962,517,29,5,3.5064802997859075,3.3564802997859076,1.0,10.294601270289343,0.16982942430703876,昊志机电 300503，琏升科技 300051，海兰信 300065，上海瀚讯 300762，新特电气 301120
2026-04-15,逆风,0,4961,248,0,0,,,,,,
2026-04-16,中性偏强,15,4962,553,29,5,0.12192044079476716,-0.028079559205232772,0.2,3.5350921273031912,-2.3514309301045753,力源信息 300184，华自科技 300490，康强电子 002119，依米康 300249，华东重机 002685
2026-04-17,逆风,2,4961,445,0,0,,,,,,
2026-04-20,中性偏强,12,4959,568,36,5,-2.2472146844823166,-2.397214684482317,0.2,0.462244897959191,-4.9624231242312575,安靠智电 300617，双杰电气 300444，银邦股份 300337，华策影视 300133，东岳硅材 300821
2026-04-21,逆风,0,4962,367,0,0,,,,,,
2026-04-22,中性偏强,12,4960,484,12,5,-1.539578632045382,-1.6895786320453818,0.0,-0.7980356419603095,-3.0527576197387383,聚飞光电 300303，弘信电子 300657，行云科技 300209，飞凯材料 300398，奥飞数据 300738
2026-04-23,逆风,0,4961,269,0,0,,,,,,
2026-04-24,逆风,0,4962,273,0,0,,,,,,
2026-04-27,中性偏强,15,4962,460,16,5,-2.1898614823248397,-2.3398614823248396,0.2,2.1804680038204407,-8.203691275167785,奥克股份 300082，德方纳米 300769，先河环保 300137，双杰电气 300444，飞荣达 300602
2026-04-28,逆风,0,4963,288,0,0,,,,,,
2026-04-29,中性偏强,15,4964,514,7,5,-0.8036783378887492,-0.9536783378887492,0.4,7.164974182444067,-7.70505545732198,天原股份 002386，万里石 002785，明阳电气 301291，恒星科技 002132，星源材质 300568
2026-04-30,中性偏强,12,4964,427,4,4,3.2551679467494656,3.1051679467494653,0.75,7.958108108108114,-0.5929937048263,波长光电 301421，美畅股份 300861，汇纳科技 300609，高乐股份 002348
2026-05-06,顺风,17,4963,882,21,5,0.41817721342581204,0.2681772134258121,0.2,5.427689243027883,-1.5150546021840903,视觉中国 000681，海伦哲 300201，山东赫达 002810，盟固利 301487，启明星辰 002439
2026-05-07,顺风,17,4965,839,28,5,0.3794449025756075,0.22944490257560757,0.8,1.113362487852282,-1.694907043728716,光力科技 300480，中来股份 300393，欣锐科技 300745，创世纪 300083，吴通控股 300292
2026-05-08,中性偏强,15,4965,694,19,5,0.23822416026099802,0.08822416026099811,0.4,3.437223587223565,-2.7850461133069824,国民技术 300077，天阳科技 300872，超声电子 000823，宁波华翔 002048，鸿远电子 603267
2026-05-11,顺风,17,4965,713,26,5,-2.604781552688411,-2.754781552688411,0.0,-0.3226263871763223,-6.845439169485607,科大智能 300222，药石科技 300725，同飞股份 300990，蓝箭电子 301348，聚杰微纤 300819
2026-05-12,逆风,0,4961,335,0,0,,,,,,
2026-05-13,中性偏强,15,4967,603,30,5,-0.3803204767148216,-0.5303204767148216,0.2,4.011152771651233,-3.234072665821713,通裕重工 300185，英诺激光 301021，华康洁净 301235，立新能源 001258，光华科技 002741
2026-05-14,逆风,0,4967,238,0,0,,,,,,
2026-05-15,逆风,0,4967,360,0,0,,,,,,
2026-05-18,逆风,6,4969,373,0,0,,,,,,
2026-05-19,中性偏强,15,4966,495,22,5,2.1327525309631867,1.9827525309631873,0.2,20.487027206370264,-4.031110292311463,鸿远电子 603267，锐科激光 300747，利和兴 301013，安孚科技 603031，秦川机床 000837
2026-05-20,逆风,2,4970,377,0,0,,,,,,
2026-05-21,逆风,0,4973,134,0,0,,,,,,
2026-05-22,顺风,18,4975,526,6,5,1.9370720339496852,1.7870720339496853,0.4,15.976760563380273,-4.916107678729048,同飞股份 300990，激智科技 300566，中英科技 300936，秋田微 300939，通力科技 301255
2026-05-25,逆风,4,4975,429,0,0,,,,,,
2026-05-26,逆风,0,4975,311,0,0,,,,,,
2026-05-27,逆风,0,4975,228,0,0,,,,,,
2026-05-28,中性偏强,12,4975,452,13,5,-1.0839231918783596,-1.23392319187836,0.2,4.834177215189866,-5.328620880642471,新特电气 301120，台基股份 300046，长海股份 300196，穗恒运Ａ 000531，润禾材料 300727
2026-05-29,逆风,0,4974,198,0,0,,,,,,
2026-06-01,中性偏强,15,4972,377,5,5,-2.489428742490012,-2.6394287424900122,0.2,1.3927769985974838,-8.218234209313053,穗恒运Ａ 000531，汇金科技 300561，镇海股份 603637，兰花科创 600123，密尔克卫 603713
2026-06-02,逆风,0,4972,275,0,0,,,,,,
2026-06-03,逆风,0,4976,359,0,0,,,,,,
2026-06-04,逆风,0,4976,332,0,0,,,,,,
2026-06-05,中性偏弱,8,4978,449,0,0,,,,,,
2026-06-08,逆风,0,4979,194,0,0,,,,,,
2026-06-09,顺风,18,4978,434,8,5,-0.7022972700756668,-0.8522972700756668,0.4,2.1495649471721614,-4.855882352941171,强瑞技术 301128，创世纪 300083，冰山冷热 000530，盛路通信 002446，高伟达 300465
2026-06-10,逆风,0,4976,247,0,0,,,,,,
2026-06-11,逆风,0,4974,256,0,0,,,,,,
2026-06-12,中性偏强,15,4975,429,3,3,0.548062355203179,0.39806235520317906,0.6666666666666666,2.5285714285714413,-3.6383720930232397,慈星股份 300307，楚江新材 002171，上工申贝 600843
2026-06-15,顺风,19,4972,662,14,5,1.4854538837027498,1.3354538837027499,0.4,6.252439024390238,-1.654629629629639,阿尔特 300825，新莱福 301323，慈星股份 300307，长海股份 300196，富满微 300671
2026-06-16,中性偏弱,10,4976,633,3,3,1.4980951962658102,1.3480951962658103,1.0,2.485825712748785,0.4462239152037085,正丹股份 300641，创业黑马 300688，新雷能 300593
2026-06-17,逆风,2,4972,430,0,0,,,,,,
2026-06-18,逆风,2,4970,418,0,0,,,,,,
2026-06-22,中性偏弱,10,4975,582,17,5,-3.04363702603371,-3.19363702603371,0.0,-1.6240108611326685,-5.828022712090858,博盈特焊 301468，飞南资源 301500，英洛华 000795，新化股份 603867，天和磁材 603072
2026-06-23,逆风,4,4979,305,0,0,,,,,,
2026-06-24,逆风,0,4978,354,0,0,,,,,,
2026-06-25,逆风,0,4978,305,0,0,,,,,,
2026-06-26,逆风,0,4978,196,0,0,,,,,,
2026-06-29,逆风,6,4976,300,0,0,,,,,,
2026-06-30,顺风,17,4973,515,11,5,0.14895167221101743,-0.0010483277889829167,0.4,9.552584105314482,-5.624452554744536,中泰股份 300435，鸿利智汇 300219，安洁科技 002635，新华制药 000756，沃顿科技 000920
2026-07-01,顺风,19,4975,649,9,5,-2.1414522689959203,-2.2914522689959202,0.0,-0.6335836090608226,-5.201015254066071,宝武镁业 002182，雅创电子 301099，药石科技 300725，泓博医药 301230，航锦科技 000818
2026-07-02,逆风,0,4979,271,0,0,,,,,,
